YEAR,TRI_FACILI,FRS_ID,FACILITY_N,STREET_ADD,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,PRIMARY_NA,CHEMICAL,CAS_#/COMP,CLEAR_AIR_,CLASSIFICA,METAL,CARCINOGEN,FORM_TYPE,UNIT_OF_ME,5.1_FUGITI,5.2_STACK_,5.3_WATER,ON-SITE_RE
2016,00937SSLMMLUISM,1.10008E+11,LMM AIRPORT PLANT,LUIS MUNOZ MARIN INT AIRPORT MUNIZ AIR BASE AREA,CAROLINA,CAROLINA,PR,979,18.439444,-66.005836,424710,N-HEXANE,110543,YES,TRI,NO,NO,R,Pounds,5.6,47.1,0,52.7
2016,00692CRBGNSTATE,1.10042E+11,GE INDUSTRIAL OF PR LLC,STATE RD # 2 KM. 30.1,VEGA ALTA,VEGA ALTA,PR,692,18.413411,-66.317971,335314,LEAD,7439921,YES,PBT,YES,YES,R,Pounds,0,0,0,0
2016,00767YBCSNROUTE,1.10001E+11,BUCKEYE CARIBBEAN TERMINALS LLC (FORMER SCYI),RT 901 KM 2.7 CAMINO NUEVO WARD,YABUCOA,YABUCOA,PR,767,18.046899,-65.85116,493110,COPPER COMPOUNDS,N100,NO,TRI,YES,NO,A,Pounds,0,0,0,0
2016,00767YBCSNROUTE,1.10001E+11,BUCKEYE CARIBBEAN TERMINALS LLC (FORMER SCYI),RT 901 KM 2.7 CAMINO NUEVO WARD,YABUCOA,YABUCOA,PR,767,18.046899,-65.85116,493110,CYCLOHEXANE,110827,NO,TRI,NO,NO,A,Pounds,0,0,0,0
2016,00705TRCSNRD14K,1.10008E+11,TO-RICOS LTD,RD 14 KM 48 BO ASOMANTE,AIBONITO,AIBONITO,PR,705,18.130899,-66.27565,311615,PERACETIC ACID,79210,NO,TRI,NO,NO,R,Pounds,0,0,0,18445
2016,00777MGNMNRD31K,1.10021E+11,AMGEN MANUFACTURING  LTD,RD 31 KM 24.6,JUNCOS,JUNCOS,PR,777,18.235793,-65.904429,325414,POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,YES,R,Pounds,0,208,0,208
2016,00654NQSTNROAD3,1.10001E+11,BAXTER HEALTHCARE SA/BAXTER HEALTHCARE OF PUERTO RICO,RD # 3 KM 144.2,GUAYAMA,GUAYAMA,PR,784,17.9631,-66.1503,325412,CHLORODIFLUOROMETHANE,75456,NO,TRI,NO,NO,R,Pounds,3172,5,0,3177
2016,0097WPRTRC2JSET,1.1001E+11,US DOD USAF PUERTO RICO ANG,200 JOSE (TONY) SANTANA,CAROLINA,SAN JUAN,PR,979,18.43905,-65.99418,928110,NAPHTHALENE,91203,YES,TRI,NO,NO,R,Pounds,5,0,0,5
2016,00701DPNTLHIGHW,1.10001E+11,DU PONT ELECTRONICS MICROCIRCU ITS INDUSTRIES LTD,HWY 686 KM 2.3,MANATI,MANATI,PR,674,18.4501,-66.4739,334413,CHLORSULFURON,64902723,NO,TRI,NO,NO,R,Pounds,0,0,0,0
2016,00701DPNTLHIGHW,1.10001E+11,DU PONT ELECTRONICS MICROCIRCU ITS INDUSTRIES LTD,HWY 686 KM 2.3,MANATI,MANATI,PR,674,18.4501,-66.4739,334413,SILVER COMPOUNDS,N740,NO,TRI,YES,NO,R,Pounds,0,0.78,0,0.78
