[
County Code Residence,County Name,County Code Place of Work,County Name,Workers in Commuting Flow
72127,San Juan Municipio,72127,San Juan Municipio,100960
72113,Ponce Municipio,72113,Ponce Municipio,37285
72021,Bayamon Municipio,72021,Bayamon Municipio,27451
72031,Carolina Municipio,72127,San Juan Municipio,26664
72031,Carolina Municipio,72031,Carolina Municipio,24944
72025,Caguas Municipio,72025,Caguas Municipio,24110
72021,Bayamon Municipio,72127,San Juan Municipio,21376
72061,Guaynabo Municipio,72127,San Juan Municipio,18100
72097,Mayaguez Municipio,72097,Mayaguez Municipio,16654
72013,Arecibo Municipio,72013,Arecibo Municipio,14013
72139,Trujillo Alto Municipio,72127,San Juan Municipio,13637
72061,Guaynabo Municipio,72061,Guaynabo Municipio,12425
72127,San Juan Municipio,72061,Guaynabo Municipio,11394
72005,Aguadilla Municipio,72005,Aguadilla Municipio,10187
72069,Humacao Municipio,72069,Humacao Municipio,9728
72025,Caguas Municipio,72127,San Juan Municipio,9682
72127,San Juan Municipio,72031,Carolina Municipio,9428
72137,Toa Baja Municipio,72127,San Juan Municipio,8979
72057,Guayama Municipio,72057,Guayama Municipio,7510
72035,Cayey Municipio,72035,Cayey Municipio,7274
72137,Toa Baja Municipio,72137,Toa Baja Municipio,6985
72053,Fajardo Municipio,72053,Fajardo Municipio,6769
72135,Toa Alta Municipio,72021,Bayamon Municipio,6673
72021,Bayamon Municipio,72061,Guaynabo Municipio,6407
72075,Juana Diaz Municipio,72113,Ponce Municipio,6337
72135,Toa Alta Municipio,72127,San Juan Municipio,6324
72023,Cabo Rojo Municipio,72023,Cabo Rojo Municipio,5909
72091,Manati Municipio,72091,Manati Municipio,5796
72071,Isabela Municipio,72071,Isabela Municipio,5694
72137,Toa Baja Municipio,72021,Bayamon Municipio,5623
72139,Trujillo Alto Municipio,72139,Trujillo Alto Municipio,5546
72003,Aguada Municipio,72003,Aguada Municipio,5048
72131,San Sebastian Municipio,72131,San Sebastian Municipio,4995
72153,Yauco Municipio,72153,Yauco Municipio,4976
72145,Vega Baja Municipio,72145,Vega Baja Municipio,4933
72041,Cidra Municipio,72041,Cidra Municipio,4879
72119,Rio Grande Municipio,72119,Rio Grande Municipio,4778
72075,Juana Diaz Municipio,72075,Juana Diaz Municipio,4767
72065,Hatillo Municipio,72013,Arecibo Municipio,4669
72125,San German Municipio,72125,San German Municipio,4583
72127,San Juan Municipio,72021,Bayamon Municipio,4549
72043,Coamo Municipio,72043,Coamo Municipio,4522
72063,Gurabo Municipio,72025,Caguas Municipio,4421
72065,Hatillo Municipio,72065,Hatillo Municipio,4417
72011,Anasco Municipio,72011,Anasco Municipio,4029
72141,Utuado Municipio,72141,Utuado Municipio,4004
72029,Canovanas Municipio,72127,San Juan Municipio,3997
72009,Aibonito Municipio,72009,Aibonito Municipio,3975
72129,San Lorenzo Municipio,72129,San Lorenzo Municipio,3968
72027,Camuy Municipio,72027,Camuy Municipio,3878
72135,Toa Alta Municipio,72135,Toa Alta Municipio,3827
72029,Canovanas Municipio,72031,Carolina Municipio,3816
72019,Barranquitas Municipio,72019,Barranquitas Municipio,3800
72051,Dorado Municipio,72051,Dorado Municipio,3782
72023,Cabo Rojo Municipio,72097,Mayaguez Municipio,3729
72081,Lares Municipio,72081,Lares Municipio,3694
72099,Moca Municipio,72099,Moca Municipio,3625
72063,Gurabo Municipio,72063,Gurabo Municipio,3590
72047,Corozal Municipio,72047,Corozal Municipio,3559
72123,Salinas Municipio,72123,Salinas Municipio,3534
72073,Jayuya Municipio,72073,Jayuya Municipio,3527
72139,Trujillo Alto Municipio,72031,Carolina Municipio,3500
72029,Canovanas Municipio,72029,Canovanas Municipio,3473
72149,Villalba Municipio,72149,Villalba Municipio,3423
72063,Gurabo Municipio,72127,San Juan Municipio,3391
72119,Rio Grande Municipio,72127,San Juan Municipio,3356
72085,Las Piedras Municipio,72085,Las Piedras Municipio,3324
72077,Juncos Municipio,72077,Juncos Municipio,3236
72119,Rio Grande Municipio,72031,Carolina Municipio,3172
72107,Orocovis Municipio,72107,Orocovis Municipio,2969
72129,San Lorenzo Municipio,72025,Caguas Municipio,2960
72033,Catano Municipio,72127,San Juan Municipio,2959
72137,Toa Baja Municipio,72061,Guaynabo Municipio,2947
72147,Vieques Municipio,72147,Vieques Municipio,2947
72061,Guaynabo Municipio,72021,Bayamon Municipio,2927
72133,Santa Isabel Municipio,72133,Santa Isabel Municipio,2919
72087,Loiza Municipio,72127,San Juan Municipio,2819
72143,Vega Alta Municipio,72143,Vega Alta Municipio,2807
72151,Yabucoa Municipio,72151,Yabucoa Municipio,2799
72031,Carolina Municipio,72061,Guaynabo Municipio,2720
72151,Yabucoa Municipio,72069,Humacao Municipio,2668
72071,Isabela Municipio,72005,Aguadilla Municipio,2629
72135,Toa Alta Municipio,72061,Guaynabo Municipio,2607
72067,Hormigueros Municipio,72097,Mayaguez Municipio,2601
72115,Quebradillas Municipio,72115,Quebradillas Municipio,2536
72041,Cidra Municipio,72035,Cayey Municipio,2517
72017,Barceloneta Municipio,72017,Barceloneta Municipio,2513
72105,Naranjito Municipio,72105,Naranjito Municipio,2468
72101,Morovis Municipio,72101,Morovis Municipio,2461
72025,Caguas Municipio,72061,Guaynabo Municipio,2448
72127,San Juan Municipio,72025,Caguas Municipio,2372
72011,Anasco Municipio,72097,Mayaguez Municipio,2366
72111,Penuelas Municipio,72113,Ponce Municipio,2339
72001,Adjuntas Municipio,72001,Adjuntas Municipio,2319
72041,Cidra Municipio,72025,Caguas Municipio,2286
72051,Dorado Municipio,72127,San Juan Municipio,2240
72079,Lajas Municipio,72079,Lajas Municipio,2218
72085,Las Piedras Municipio,72069,Humacao Municipio,2212
72103,Naguabo Municipio,72103,Naguabo Municipio,2191
72099,Moca Municipio,72005,Aguadilla Municipio,2165
72117,Rincon Municipio,72117,Rincon Municipio,2164
72111,Penuelas Municipio,72111,Penuelas Municipio,2146
72121,Sabana Grande Municipio,72121,Sabana Grande Municipio,2126
72021,Bayamon Municipio,72031,Carolina Municipio,2125
72003,Aguada Municipio,72005,Aguadilla Municipio,2050
72125,San German Municipio,72097,Mayaguez Municipio,2033
72145,Vega Baja Municipio,72127,San Juan Municipio,2021
72077,Juncos Municipio,72025,Caguas Municipio,2004
72007,Aguas Buenas Municipio,72007,Aguas Buenas Municipio,1973
72087,Loiza Municipio,72031,Carolina Municipio,1942
72045,Comerio Municipio,72045,Comerio Municipio,1903
72105,Naranjito Municipio,72021,Bayamon Municipio,1876
72027,Camuy Municipio,72013,Arecibo Municipio,1858
72013,Arecibo Municipio,72017,Barceloneta Municipio,1829
72021,Bayamon Municipio,72137,Toa Baja Municipio,1823
72039,Ciales Municipio,72039,Ciales Municipio,1766
72015,Arroyo Municipio,72015,Arroyo Municipio,1746
72145,Vega Baja Municipio,72091,Manati Municipio,1740
72021,Bayamon Municipio,72033,Catano Municipio,1735
72003,Aguada Municipio,72097,Mayaguez Municipio,1709
72035,Cayey Municipio,72025,Caguas Municipio,1708
72077,Juncos Municipio,72127,San Juan Municipio,1694
72083,Las Marias Municipio,72083,Las Marias Municipio,1673
72139,Trujillo Alto Municipio,72061,Guaynabo Municipio,1660
72051,Dorado Municipio,72021,Bayamon Municipio,1657
72015,Arroyo Municipio,72057,Guayama Municipio,1656
72055,Guanica Municipio,72055,Guanica Municipio,1650
72033,Catano Municipio,72033,Catano Municipio,1649
72109,Patillas Municipio,72109,Patillas Municipio,1646
72013,Arecibo Municipio,72091,Manati Municipio,1624
72143,Vega Alta Municipio,72127,San Juan Municipio,1622
72087,Loiza Municipio,72087,Loiza Municipio,1606
72103,Naguabo Municipio,72069,Humacao Municipio,1600
72007,Aguas Buenas Municipio,72025,Caguas Municipio,1598
72089,Luquillo Municipio,72053,Fajardo Municipio,1597
72127,San Juan Municipio,72139,Trujillo Alto Municipio,1580
72013,Arecibo Municipio,72065,Hatillo Municipio,1543
72041,Cidra Municipio,72127,San Juan Municipio,1517
72123,Salinas Municipio,72057,Guayama Municipio,1515
72149,Villalba Municipio,72113,Ponce Municipio,1486
72047,Corozal Municipio,72021,Bayamon Municipio,1471
72059,Guayanilla Municipio,72059,Guayanilla Municipio,1460
72089,Luquillo Municipio,72089,Luquillo Municipio,1454
72153,Yauco Municipio,72113,Ponce Municipio,1452
72037,Ceiba Municipio,72053,Fajardo Municipio,1449
72119,Rio Grande Municipio,72029,Canovanas Municipio,1424
72095,Maunabo Municipio,72095,Maunabo Municipio,1418
72135,Toa Alta Municipio,72137,Toa Baja Municipio,1411
72059,Guayanilla Municipio,72113,Ponce Municipio,1367
72035,Cayey Municipio,72127,San Juan Municipio,1366
72027,Camuy Municipio,72065,Hatillo Municipio,1356
72129,San Lorenzo Municipio,72127,San Juan Municipio,1339
72043,Coamo Municipio,72133,Santa Isabel Municipio,1302
72031,Carolina Municipio,72021,Bayamon Municipio,1298
72025,Caguas Municipio,72035,Cayey Municipio,1294
72031,Carolina Municipio,72139,Trujillo Alto Municipio,1292
72137,Toa Baja Municipio,72033,Catano Municipio,1284
72133,Santa Isabel Municipio,72113,Ponce Municipio,1276
72069,Humacao Municipio,72085,Las Piedras Municipio,1265
72127,San Juan Municipio,72033,Catano Municipio,1256
72069,Humacao Municipio,72127,San Juan Municipio,1250
72031,Carolina Municipio,72029,Canovanas Municipio,1243
72109,Patillas Municipio,72057,Guayama Municipio,1234
72033,Catano Municipio,72021,Bayamon Municipio,1220
72061,Guaynabo Municipio,72031,Carolina Municipio,1216
72035,Cayey Municipio,72041,Cidra Municipio,1208
72085,Las Piedras Municipio,72025,Caguas Municipio,1203
72047,Corozal Municipio,72127,San Juan Municipio,1193
72119,Rio Grande Municipio,72053,Fajardo Municipio,1177
72025,Caguas Municipio,72031,Carolina Municipio,1138
72001,Adjuntas Municipio,72113,Ponce Municipio,1135
72043,Coamo Municipio,72113,Ponce Municipio,1124
72021,Bayamon Municipio,72025,Caguas Municipio,1094
72113,Ponce Municipio,72075,Juana Diaz Municipio,1093
72025,Caguas Municipio,72063,Gurabo Municipio,1040
72067,Hormigueros Municipio,72067,Hormigueros Municipio,1039
72077,Juncos Municipio,72069,Humacao Municipio,1026
72121,Sabana Grande Municipio,72097,Mayaguez Municipio,1016
72054,Florida Municipio,72054,Florida Municipio,997
72017,Barceloneta Municipio,72091,Manati Municipio,986
72093,Maricao Municipio,72093,Maricao Municipio,965
72145,Vega Baja Municipio,72021,Bayamon Municipio,949
72137,Toa Baja Municipio,72031,Carolina Municipio,948
72033,Catano Municipio,72061,Guaynabo Municipio,932
72143,Vega Alta Municipio,72051,Dorado Municipio,929
72103,Naguabo Municipio,72053,Fajardo Municipio,928
72051,Dorado Municipio,72137,Toa Baja Municipio,913
72143,Vega Alta Municipio,72021,Bayamon Municipio,913
72099,Moca Municipio,72097,Mayaguez Municipio,902
72143,Vega Alta Municipio,72145,Vega Baja Municipio,885
72007,Aguas Buenas Municipio,72127,San Juan Municipio,878
72009,Aibonito Municipio,72035,Cayey Municipio,866
72089,Luquillo Municipio,72119,Rio Grande Municipio,866
72091,Manati Municipio,72145,Vega Baja Municipio,866
72121,Sabana Grande Municipio,72125,San German Municipio,862
72085,Las Piedras Municipio,72077,Juncos Municipio,860
72091,Manati Municipio,72017,Barceloneta Municipio,839
72137,Toa Baja Municipio,72051,Dorado Municipio,837
72131,San Sebastian Municipio,72005,Aguadilla Municipio,831
72113,Ponce Municipio,72127,San Juan Municipio,803
72103,Naguabo Municipio,72127,San Juan Municipio,800
72085,Las Piedras Municipio,72127,San Juan Municipio,795
72023,Cabo Rojo Municipio,72125,San German Municipio,793
72037,Ceiba Municipio,72037,Ceiba Municipio,789
72069,Humacao Municipio,72025,Caguas Municipio,789
72139,Trujillo Alto Municipio,72021,Bayamon Municipio,785
72141,Utuado Municipio,72013,Arecibo Municipio,784
72101,Morovis Municipio,72091,Manati Municipio,772
72115,Quebradillas Municipio,72013,Arecibo Municipio,768
72139,Trujillo Alto Municipio,72025,Caguas Municipio,766
72061,Guaynabo Municipio,72025,Caguas Municipio,762
72053,Fajardo Municipio,72127,San Juan Municipio,755
72135,Toa Alta Municipio,72033,Catano Municipio,755
72097,Mayaguez Municipio,72023,Cabo Rojo Municipio,752
72079,Lajas Municipio,72125,San German Municipio,749
72005,Aguadilla Municipio,72071,Isabela Municipio,747
72077,Juncos Municipio,72085,Las Piedras Municipio,739
72063,Gurabo Municipio,72069,Humacao Municipio,724
72081,Lares Municipio,72013,Arecibo Municipio,720
72097,Mayaguez Municipio,72011,Anasco Municipio,720
72077,Juncos Municipio,72063,Gurabo Municipio,718
72051,Dorado Municipio,72061,Guaynabo Municipio,716
72025,Caguas Municipio,72041,Cidra Municipio,712
72135,Toa Alta Municipio,72051,Dorado Municipio,711
